"term","prop_connected","prop_connected_std","wilcox_effect_size","wilcox_p_value","wilcox_adj_p_value","fold_change","log_fold_change","de_label","plot_label","de_color","label_color","nudge_x","nudge_y"
"discriminate",0.106493506493506,1.93027058330664,1071629.66823408,0.162910762336801,50.9910686114188,0.70715919014994,0.47649899611156,"discriminate",NA,"#F8766D","darkred",-3,1
"disgust",0.0938511326860841,2.191364548769,496057.952695706,0.0414766940747163,12.9822052453862,0.34640063796509,0.411923640348668,"disgust",NA,"#F8766D","darkred",-3,1
"ocd",0.16374269005848,2.8974358974359,7512.598776404,0.739569239873326,231.485172080351,1.31020027945971,0.669830165046332,NA,NA,"#BDBDBD","#BDBDBD",0,1
"stress",0.0946236559139785,1.84053077099062,22648.1313468907,0.290320091908401,90.8701887673296,0.528332662907578,0.500767526139986,NA,NA,"#BDBDBD","#BDBDBD",0,1
"distraction",0.101923076923077,1.29043831833061,139523.011453979,0.108848579287418,34.0696053169619,0.558650513439926,0.29162526971796,"distraction",NA,"#F8766D","darkred",-3,1
"dominance",0.146218487394958,2.58993384587878,663754.317268656,0.000831966282711403,0.260405446488669,1.46402999638294,0.654663460204362,NA,NA,"#BDBDBD","#BDBDBD",0,1
"dyslexia",0.208333333333333,5.09250109793588,87220.8091478468,0.00178373501678048,0.558309060252289,2.80344063184138,1.07064174124955,NA,NA,"#BDBDBD","#BDBDBD",0,1
"vision",0.168445914029287,3.46019715022261,900400.792677609,1.65237200951369e-05,0.00517192438977786,1.49045742344417,0.73457871056609,NA,NA,"#BDBDBD","#BDBDBD",0,1
"eat",0.0810647307924985,2.03159746125123,126846.338657115,0.639863327338466,200.27722145694,0.43365257579365,0.458738495249134,"eat",NA,"#F8766D","darkred",-3,1
"economic",0.130021141649049,2.6625274395924,62918.015132171,0.500996889897177,156.812026537816,0.727102106754647,0.572712684948551,NA,NA,"#BDBDBD","#BDBDBD",0,1
"efficiency",0.116666666666667,1.35281224152192,4185.42163469478,0.382630667846363,119.763399035911,1.35514480348099,0.466443929137311,"efficiency",NA,"#F8766D","darkred",-3,1
"effort",0.0788530465949821,1.25837954789969,131289.514485953,0.379210793927431,118.692978499286,0.588191459072044,0.343420394015236,"effort",NA,"#F8766D","darkred",-3,1
"emotion",0.0726489931520781,1.36505202481532,5497442.62589211,0.00770993587735491,2.41320992961209,0.170347387814232,0.188124785565193,"emotion","emotion","#F8766D","darkred",-3,0
"empathy",0.0967741935483871,1.61304985337243,2189995.31308983,0.0930618165967763,29.128348594791,0.497149041883911,0.389190401094879,"empathy",NA,"#F8766D","darkred",-3,1
"encode",0.107222601959444,1.83754491331808,2348877.4904418,0.000166404598323331,0.0520846392752027,0.51071503265715,0.393849350536714,"encode",NA,"#F8766D","darkred",-3,1
"engagement",0.096039603960396,1.52443737432869,425325.940957255,0.237572754209203,74.3602720674807,0.77023319103847,0.456623096046267,"engagement",NA,"#F8766D","darkred",-3,1
"english",0.129065324760041,2.57189733122244,1081773.75431031,0.000322966191448643,0.101088417923425,1.11525414476883,0.61970973539097,NA,NA,"#BDBDBD","#BDBDBD",0,1
"epilepsy",0.25296442687747,4.846237474401,14248.5606833883,0.601164149212005,188.164378703357,1.7259569638462,0.993499727699406,NA,NA,"#BDBDBD","#BDBDBD",0,1
"episodic",0.0832523957523957,1.61550434235953,5972803.31840988,4.42096594398555e-05,0.0138376234046748,0.275855744442846,0.267818393664067,"episodic",NA,"#F8766D","darkred",-3,1
"error",0.193446088794926,2.450865130653,59227.2478353012,0.154616408525255,48.3949358684049,1.57611387591489,0.679819240473082,NA,NA,"#BDBDBD","#BDBDBD",0,1
"evaluation",0.291005291005291,4.83651798850417,22492.220417093,0.207661498758651,64.9980491114577,2.4093876168593,0.988383809677705,NA,NA,"#BDBDBD","#BDBDBD",0,1
"events",0.0879284649776453,1.33255354405953,631955.326735084,0.664366245910742,207.946634970062,0.303930953269426,0.250113254289572,"events",NA,"#F8766D","darkred",-3,1
"execution",0.111851360318514,2.34970675446572,3441281.02592011,1.84777262503872e-20,5.78352831637121e-18,0.871420814362519,0.59987773495147,"execution",NA,"#00A9FF","darkblue",2,1
"expectation",0.0956054230949042,1.37218260280709,316395.168027657,0.516509541847646,161.667486598313,0.569215405856439,0.342114371566559,"expectation",NA,"#F8766D","darkred",-3,1
"experience",0.0725155279503106,1.2429270380643,1270004.16939207,0.198089964728372,62.0021589599803,0.20078788614525,0.189296402687335,"experience",NA,"#F8766D","darkred",-3,1
"expertise",0.134796238244514,1.75906226386724,273753.451028564,0.480304020367298,150.335158374964,0.724687963095175,0.352116207270919,"expertise",NA,"#F8766D","darkred",-3,1
"exploration",0.125541125541126,1.64550264550265,9852.56683163225,0.468449799625644,146.624787282826,0.491188875433248,0.25164556808582,"exploration",NA,"#F8766D","darkred",-3,1
"eye",0.122953981813172,2.01905493726838,1607178.28193984,0.000178178086700453,0.0557697411372418,1.01986616916456,0.545651489756103,NA,NA,"#BDBDBD","#BDBDBD",0,1
"face",0.11134732925857,2.48533099290879,2003483.50187685,3.21152635686258e-06,0.00100520774969799,0.494424978581068,0.441250510926649,"face",NA,"#F8766D","darkred",-3,1
"familiarity",0.114012357982858,1.85946693647979,1555926.74428071,0.000225311102113377,0.0705223749614871,0.632585924703033,0.432179267293629,"familiarity",NA,"#F8766D","darkred",-3,1
